src_ip,dst_ip,src_port,dst_port,protocol,duration,bytes_sent,bytes_received,packets,label
10.118.216.211,2.177.173.148,23573,8080,tcp,0.7629666491525529,85,462,2,c2_beacon
10.79.73.120,100.248.240.81,49514,3389,tcp,1.9163241717168487,830,69,10,brute_force
172.26.223.137,106.198.126.25,57892,22,tcp,0.805514168640793,491,346,7,brute_force
10.155.97.20,195.199.32.154,11953,8443,tcp,0.5376977050290226,365,480,7,c2_beacon
10.42.182.200,97.186.30.170,27343,443,tcp,3.014355294153136,2762,9479,16,benign
10.202.236.168,202.43.46.208,4304,443,udp,1.9953438093124043,3562,7639,16,benign
192.168.186.59,46.113.114.213,11918,3389,tcp,1.2639789264808607,908,415,2,brute_force
172.17.1.113,22.58.44.239,5453,123,tcp,3.524553934961197,4057,18145,30,benign
10.132.120.194,25.42.57.251,39217,443,tcp,0.7385125135882107,129,306,3,c2_beacon
10.253.48.2,77.221.57.61,61873,443,udp,3.529140106724426,4349,12967,24,benign
192.168.196.20,106.167.77.174,60024,445,tcp,1.0703458082039572,991,453,10,brute_force
172.28.155.189,155.220.21.201,40278,36518,tcp,0.057143332402204566,110,85,5,port_scan
192.168.175.14,139.171.53.116,1944,8443,tcp,0.33474795661072876,144,339,2,c2_beacon
172.27.152.13,116.113.31.207,35487,22,tcp,1.2379156690897357,249,116,4,brute_force
172.31.190.44,134.72.6.240,52841,443,udp,2.2129464577206184,4009,9130,19,benign
192.168.61.47,5.147.22.104,54963,1536,tcp,0.4414143645195584,76,125,3,port_scan
10.65.38.237,106.193.179.117,1791,48372,tcp,0.17312216366348165,131,273,3,port_scan
192.168.138.229,76.122.210.214,1618,21551,tcp,0.28883193811298535,189,175,4,port_scan
172.22.102.191,17.41.93.223,27517,443,tcp,3.172589150146638,10445,8027,30,benign
10.214.157.63,184.35.216.9,11639,53,tcp,0.9398493205619376,8509,16738,37,benign
10.166.60.168,128.104.187.240,29955,8080,tcp,0.4897262627927625,99,730,5,c2_beacon
172.19.205.54,186.9.84.228,61704,38800,tcp,0.20444316079270053,49,393,2,port_scan
192.168.148.230,59.51.46.72,15828,8443,tcp,0.5573414239194248,219,683,8,c2_beacon
10.79.73.120,100.248.240.81,61313,3389,tcp,0.5472281357042301,626,664,5,brute_force
192.168.208.129,64.224.174.255,49519,445,tcp,1.4050736933693886,587,423,6,brute_force
192.168.37.142,139.120.83.183,36660,45564,tcp,0.21672220543012646,215,11,4,port_scan
10.155.81.201,218.125.239.173,4959,22,tcp,1.2769538085888215,572,591,7,brute_force
192.168.61.47,5.147.22.104,27252,1538,tcp,0.2922978858660756,191,237,4,port_scan
172.30.76.84,216.177.60.195,41258,53,udp,2.0124599650306307,2501,500,5,benign
172.20.222.35,51.192.45.221,57513,22,tcp,0.8664779048959844,229,515,9,brute_force
172.26.212.39,210.218.216.208,54872,3389,tcp,1.2047363296324611,247,707,10,brute_force
192.168.18.252,22.231.156.208,31938,22,tcp,1.5270804551377664,544,586,6,brute_force
172.31.10.63,52.9.100.148,23166,3389,tcp,0.5937744920798405,347,524,2,brute_force
172.26.136.254,129.117.250.69,3137,3389,tcp,0.7675589941197685,899,230,5,brute_force
172.26.43.54,25.97.64.63,33528,443,tcp,0.44553860203454776,184,726,7,c2_beacon
172.29.97.99,104.187.90.141,58820,445,tcp,1.1205250214666398,495,174,10,brute_force
10.48.46.92,73.47.248.183,45192,123,udp,3.8677288410213495,2745,17405,26,benign
10.79.73.120,100.248.240.81,41969,3389,tcp,2.2436523209434265,953,201,5,brute_force
192.168.208.129,64.224.174.255,20777,445,tcp,1.6228012700137961,530,326,10,brute_force
10.209.127.223,202.9.128.9,6634,22,tcp,1.427157299847576,420,618,8,brute_force
10.55.123.176,221.146.104.228,37334,1948,tcp,0.09835300397884057,99,368,5,port_scan
10.113.238.15,19.181.86.195,14354,58906,tcp,0.13924801925243196,269,298,2,port_scan
10.222.81.250,125.4.126.121,57656,22,tcp,1.6296956486206482,961,483,3,brute_force
192.168.205.21,202.143.18.55,40377,59018,tcp,0.19011552161305964,267,5,2,port_scan
10.112.158.57,187.114.210.211,10406,3389,tcp,1.293965177704997,806,522,10,brute_force
172.18.105.85,99.106.49.175,61743,443,udp,3.3306899215361367,7391,13751,31,benign
192.168.208.129,64.224.174.255,29902,445,tcp,0.8244785051417923,218,594,8,brute_force
10.5.76.129,118.60.245.49,9064,443,tcp,1.2369528590686083,182,426,4,c2_beacon
172.20.223.197,206.97.207.178,38818,445,tcp,0.9381424485603292,699,671,6,brute_force
10.44.77.91,32.124.51.185,51061,22,tcp,0.7782761178788098,495,346,6,brute_force
192.168.101.18,155.125.160.229,28724,22,tcp,0.9905177352099194,703,753,7,brute_force
10.42.150.93,98.157.171.57,26862,3389,tcp,1.194004242249943,500,380,10,brute_force
192.168.161.157,77.140.199.2,43333,443,tcp,0.17930448213959366,106,520,2,c2_beacon
192.168.101.18,155.125.160.229,2457,22,tcp,0.17583174222031728,653,320,10,brute_force
10.55.123.176,221.146.104.228,11256,1934,tcp,0.30056445622609046,267,57,4,port_scan
10.196.40.197,169.188.163.151,54720,42497,tcp,0.04450530725972718,51,345,2,port_scan
10.2.94.160,116.0.21.211,42046,443,tcp,2.7559737633739942,9459,8760,28,benign
192.168.63.176,158.199.130.197,1895,445,tcp,0.6509022582076752,280,440,8,brute_force
10.175.230.160,71.68.29.20,55226,443,udp,3.1609589492433616,1139,6861,10,benign
172.30.74.171,84.8.67.100,20220,53,tcp,2.170768076157751,5094,9132,21,benign
192.168.94.49,208.44.99.104,33793,80,udp,1.7072989617174656,7054,10143,26,benign
172.28.153.101,96.129.49.46,4042,443,tcp,0.5981148144698869,355,405,2,c2_beacon
172.31.127.33,23.55.212.133,17867,53,tcp,3.7685119448633806,639,5018,7,benign
10.214.239.244,23.189.14.131,29529,443,udp,3.9859441431341476,8089,11087,29,benign
172.28.44.247,105.139.116.210,35617,8080,tcp,0.6465616754398543,129,176,6,c2_beacon
192.168.104.16,82.9.35.235,7810,1596,tcp,0.05892771409212902,117,71,4,port_scan
192.168.88.174,139.190.118.86,5295,443,tcp,0.4117813494914576,242,232,2,c2_beacon
192.168.146.63,107.157.44.93,61430,80,tcp,1.6739822642093882,1160,12331,17,benign
172.22.4.186,132.182.174.71,56107,445,tcp,0.4818787354783717,669,594,8,brute_force
192.168.217.6,86.180.86.49,8695,17136,tcp,0.3180244036372989,277,32,5,port_scan
10.9.112.152,115.118.190.170,21922,22,tcp,1.3063087681843424,694,243,9,brute_force
172.26.151.67,176.64.202.47,28063,8443,tcp,0.4109301910834424,354,339,4,c2_beacon
172.28.193.212,98.156.199.166,11850,53,udp,1.4605413036082346,3838,14956,25,benign
10.65.38.237,106.193.179.117,34104,48363,tcp,0.19318921226367114,59,118,2,port_scan
192.168.161.157,77.140.199.2,50132,443,tcp,0.477051342481511,333,487,5,c2_beacon
10.53.9.198,60.112.49.23,3488,8080,tcp,0.5136147772509101,182,168,6,c2_beacon
172.20.223.197,206.97.207.178,46399,445,tcp,0.9954972528289654,319,475,9,brute_force
192.168.89.199,176.234.208.118,39915,8443,tcp,0.82873722309736,252,496,7,c2_beacon
172.16.100.152,123.250.186.175,42497,8080,tcp,0.744128149982921,384,152,2,c2_beacon
172.30.164.199,156.30.90.156,56106,8443,tcp,0.4378498945411368,359,738,2,c2_beacon
192.168.116.147,182.79.209.141,5500,80,udp,0.10500997736529882,9472,7974,27,benign
172.20.222.35,51.192.45.221,37331,22,tcp,0.7852235669136344,671,90,6,brute_force
192.168.217.26,77.217.155.127,45272,9396,tcp,0.3724308461206536,258,213,4,port_scan
172.31.10.63,52.9.100.148,35376,3389,tcp,0.7717701583486947,978,477,3,brute_force
172.21.157.197,26.175.0.212,27019,3389,tcp,1.0203690511645398,362,519,8,brute_force
10.220.74.145,2.7.76.69,34103,3389,tcp,0.10125138816300328,658,778,3,brute_force
192.168.123.181,125.52.111.132,15882,53,tcp,2.7713994909651243,4981,18837,32,benign
192.168.14.207,68.168.140.203,51035,80,udp,3.8905473030880557,2769,11180,18,benign
192.168.245.50,13.110.59.232,22949,42363,tcp,0.11097785371100966,112,179,1,port_scan
172.19.231.130,52.184.53.248,2573,8443,tcp,0.5898025519435784,297,246,5,c2_beacon
172.20.244.49,214.148.75.170,47345,3389,tcp,0.7978081746882989,570,423,9,brute_force
10.49.242.155,215.92.231.122,31550,80,tcp,4.434219072923094,5917,15977,30,benign
10.222.81.250,125.4.126.121,23432,22,tcp,1.0381517294180231,484,720,7,brute_force
10.213.200.145,42.104.30.73,7510,443,udp,2.405361751260254,6271,7066,20,benign
192.168.133.45,130.54.126.251,62846,443,tcp,3.744936310609652,2694,1531,6,benign
172.19.220.194,7.242.49.63,36364,5602,tcp,0.35271063805467745,60,330,1,port_scan
192.168.75.188,63.161.57.230,11067,53,tcp,3.007350910429443,9610,21158,45,benign
192.168.101.199,124.246.176.185,12127,123,tcp,3.331795953043181,4368,8604,18,benign
172.31.67.193,102.68.165.87,58477,443,tcp,0.01763045043221162,294,279,3,c2_beacon
172.26.136.254,129.117.250.69,39695,3389,tcp,1.1192978360697716,677,602,8,brute_force
172.31.15.62,108.110.130.84,1531,123,udp,4.711060559511661,2184,730,4,benign
10.87.87.165,196.138.237.95,50450,445,tcp,1.1264607031255542,949,640,3,brute_force
172.28.6.28,149.129.72.90,53295,123,tcp,0.8296638987014981,4688,8304,19,benign
192.168.53.53,177.49.65.33,4440,445,tcp,0.9348232594304204,911,401,9,brute_force
10.113.97.174,28.116.41.236,49014,22,tcp,1.5330734741482832,329,607,4,brute_force
172.26.223.137,106.198.126.25,39700,22,tcp,1.0696252566149411,683,616,2,brute_force
172.28.44.247,105.139.116.210,53455,8080,tcp,0.5646265576938189,239,181,6,c2_beacon
192.168.217.6,86.180.86.49,29882,17132,tcp,0.1781741406735781,133,328,5,port_scan
172.23.45.198,199.196.35.254,61592,53,udp,4.329401315119495,2993,13059,21,benign
192.168.186.142,61.21.155.94,54344,5592,tcp,0.3594079031199702,145,6,1,port_scan
172.31.202.54,112.186.227.13,32271,8080,tcp,0.3754524928079747,211,569,2,c2_beacon
192.168.252.77,43.84.144.157,13404,445,tcp,1.005720701317547,613,781,8,brute_force
172.16.12.11,90.225.90.247,31374,3389,tcp,0.6796350576251697,544,50,5,brute_force
10.253.227.183,158.53.41.186,15165,15250,tcp,0.18672246969930248,282,94,4,port_scan
10.118.216.211,2.177.173.148,47864,8080,tcp,0.42268504666660567,163,159,2,c2_beacon
192.168.132.105,18.92.40.235,16561,29567,tcp,0.22892218754217547,64,270,3,port_scan
192.168.156.238,158.109.65.100,27749,123,tcp,1.7143840748934167,8130,11690,30,benign
172.20.210.8,131.58.186.125,39452,22,tcp,1.0030096894286769,741,194,8,brute_force
172.23.73.178,97.165.65.38,19036,53,udp,3.3723653203280928,7514,13016,31,benign
10.190.200.26,151.149.194.112,26731,8443,tcp,0.6225569196690866,165,639,2,c2_beacon
192.168.138.229,76.122.210.214,40351,21554,tcp,0.1891078451114973,51,239,2,port_scan
10.166.60.168,128.104.187.240,51997,8080,tcp,0.4084046710175595,230,526,8,c2_beacon
10.112.156.131,220.34.79.167,57295,80,udp,3.0390126743374735,4522,10643,22,benign
192.168.136.234,66.31.37.140,43921,8080,tcp,0.24309905130166798,251,596,7,c2_beacon
192.168.96.41,45.78.138.235,35247,80,udp,3.559821994530851,9562,6508,27,benign
10.49.33.29,114.209.26.172,38032,22,tcp,1.779458645858456,599,661,6,brute_force
192.168.179.7,222.87.126.128,60382,25900,tcp,0.21515832985350714,57,258,4,port_scan
192.168.181.6,29.166.132.34,26931,443,tcp,0.437886232915515,240,432,6,c2_beacon
10.64.193.67,110.125.84.65,20800,24020,tcp,0.03660953815095447,115,54,2,port_scan
192.168.70.136,128.102.86.33,63306,22,tcp,1.0527671647927836,905,406,7,brute_force
172.30.48.244,152.90.83.18,13478,443,udp,3.2969592900819804,3614,9254,18,benign
10.149.208.86,124.248.99.16,6822,8443,tcp,0.7989477174216851,91,552,6,c2_beacon
172.26.43.54,25.97.64.63,39698,443,tcp,0.5690905171486987,343,289,3,c2_beacon
172.21.109.31,60.15.109.192,19386,26750,tcp,0.23726576731045995,255,16,1,port_scan
192.168.130.146,101.131.16.104,42254,443,tcp,0.4963082874942986,121,656,4,c2_beacon
10.133.219.252,24.105.191.1,13143,53,tcp,4.427984731980487,6384,1893,14,benign
172.18.127.7,148.143.252.182,14584,6459,tcp,0.2925164459267363,183,82,2,port_scan
192.168.33.108,119.194.162.205,32109,53,tcp,2.1288965884011253,6014,7475,21,benign
10.155.194.23,124.41.5.136,53816,3389,tcp,1.3974972763150513,268,237,5,brute_force
10.113.38.198,160.44.64.66,2703,443,tcp,0.6093660596241149,178,754,8,c2_beacon
172.29.97.99,104.187.90.141,35688,445,tcp,1.5562013614240056,685,637,4,brute_force
10.153.82.170,181.71.84.226,51795,123,udp,3.591053440081002,4734,2731,12,benign
192.168.186.59,46.113.114.213,62142,3389,tcp,1.448667129883628,962,781,7,brute_force
192.168.99.179,161.251.37.240,44359,123,tcp,4.085893526493625,5459,10758,23,benign
192.168.70.136,128.102.86.33,56152,22,tcp,0.7168538396604363,824,237,3,brute_force
192.168.59.115,178.150.18.139,8068,15375,tcp,0.27752705443838466,64,93,2,port_scan
192.168.53.53,177.49.65.33,51775,445,tcp,0.943763019559306,458,220,5,brute_force
172.31.67.239,131.125.112.55,30945,4980,tcp,0.31181751010544523,214,46,3,port_scan
192.168.244.76,62.20.235.2,26441,8080,tcp,0.3226264168944011,244,218,2,c2_beacon
192.168.59.115,178.150.18.139,26447,15384,tcp,0.24195659272589215,289,164,1,port_scan
10.172.217.235,81.246.157.184,61533,22,tcp,0.7527760088191345,846,368,10,brute_force
192.168.205.21,202.143.18.55,62862,59015,tcp,0.32389698502667974,186,131,3,port_scan
192.168.127.55,4.24.146.174,29403,80,udp,3.44601884686274,3990,8809,18,benign
192.168.49.228,63.87.132.102,8849,16933,tcp,0.11705956001011153,222,29,1,port_scan
10.217.246.85,219.131.102.241,32666,8080,tcp,0.6804599678806257,165,235,6,c2_beacon
172.22.118.136,209.110.144.15,26382,17415,tcp,0.35198623865949213,181,27,1,port_scan
192.168.136.234,66.31.37.140,20465,8080,tcp,0.3403058091837893,114,149,7,c2_beacon
10.172.217.235,81.246.157.184,60022,22,tcp,1.175686159797305,505,167,2,brute_force
10.141.219.68,42.83.210.97,47960,3389,tcp,1.1348665496946122,792,264,4,brute_force
192.168.90.23,111.187.122.239,9757,443,tcp,0.7032755980869854,318,320,2,c2_beacon
192.168.175.14,139.171.53.116,28577,8443,tcp,0.8448036740530256,246,529,6,c2_beacon
172.20.244.49,214.148.75.170,8864,3389,tcp,1.19730141650408,821,386,9,brute_force
10.235.49.132,90.62.110.226,57143,443,tcp,2.9718440873171947,6946,10267,25,benign
10.170.1.240,103.53.227.48,18209,445,tcp,1.0391712168198377,312,123,2,brute_force
172.28.206.190,17.238.171.175,27341,445,tcp,0.5020587474220011,971,111,5,brute_force
192.168.125.3,222.255.43.152,63402,3389,tcp,1.5158541500945368,613,567,9,brute_force
172.20.222.35,51.192.45.221,5126,22,tcp,0.6519197787216675,921,79,4,brute_force
10.190.200.26,151.149.194.112,55642,8443,tcp,0.2875428400575368,336,797,4,c2_beacon
192.168.59.115,178.150.18.139,17793,15372,tcp,0.31591437717463633,208,46,1,port_scan
10.140.191.113,90.226.227.109,35772,8443,tcp,0.2921373624298257,306,202,8,c2_beacon
172.19.49.208,6.122.147.236,42153,80,udp,1.6863379454565925,6603,6498,21,benign
172.24.223.137,133.181.107.78,23605,8443,tcp,0.6784699610182714,339,328,4,c2_beacon
10.64.193.67,110.125.84.65,17859,24027,tcp,0.17921190063613507,246,121,2,port_scan
192.168.136.234,66.31.37.140,3830,8080,tcp,0.7552607254063799,294,267,6,c2_beacon
172.29.175.82,51.214.250.216,19815,22,tcp,1.2917088200186488,767,314,10,brute_force
192.168.44.113,171.191.50.225,24256,8080,tcp,0.4408266133931119,109,199,3,c2_beacon
10.154.192.222,98.1.33.54,27086,123,udp,3.0932131709408504,9136,10282,30,benign
10.44.77.91,32.124.51.185,57919,22,tcp,1.113607517486827,805,252,9,brute_force
192.168.137.183,211.6.211.72,39889,445,tcp,0.27075499594286945,271,392,7,brute_force
172.25.135.38,41.196.142.145,48187,53,tcp,4.483569798903284,1834,7248,12,benign
192.168.91.175,17.85.35.108,24205,443,tcp,0.3699995259329717,329,474,2,c2_beacon
10.88.197.112,8.10.51.95,39735,8443,tcp,0.7619072896488048,199,220,5,c2_beacon
10.9.112.152,115.118.190.170,18286,22,tcp,0.2989409218980966,431,594,5,brute_force
172.16.168.188,171.172.140.194,24108,3389,tcp,1.2992612452838164,791,731,7,brute_force
10.166.60.168,128.104.187.240,44604,8080,tcp,0.39826599265408724,329,261,3,c2_beacon
192.168.10.3,151.204.74.233,49705,443,tcp,2.746733473020224,5534,11035,24,benign
192.168.144.15,58.241.49.114,57793,3389,tcp,0.6387790420735924,943,152,9,brute_force
192.168.217.53,155.226.228.166,64075,3389,tcp,1.1429386800457673,619,220,8,brute_force
172.28.11.6,134.229.249.157,49874,22,tcp,0.8185791879067703,599,101,3,brute_force
172.29.157.164,81.96.19.20,13364,123,tcp,1.84874832892885,3120,6604,14,benign
192.168.190.173,185.184.126.124,1349,443,tcp,0.8591726129872606,8253,11101,29,benign
10.133.4.20,65.94.252.121,43009,123,udp,1.4378104141736685,5990,9901,23,benign
10.131.134.227,153.182.106.27,10425,30311,tcp,0.19560210882117077,287,85,3,port_scan
172.27.152.13,116.113.31.207,34114,22,tcp,1.262224730219698,319,74,5,brute_force
172.28.11.6,134.229.249.157,62851,22,tcp,1.3181059856564556,537,639,8,brute_force
192.168.125.3,222.255.43.152,10093,3389,tcp,1.5032099993655028,406,656,3,brute_force
192.168.181.6,29.166.132.34,21520,443,tcp,0.47944118926557294,182,649,3,c2_beacon
172.28.174.235,138.138.54.107,35214,22,tcp,0.8534937789146115,296,262,7,brute_force
172.31.202.54,112.186.227.13,63152,8080,tcp,0.197421165232799,305,743,4,c2_beacon
172.29.34.147,142.49.86.89,51546,123,tcp,3.594696829701573,12544,19609,49,benign
172.26.223.137,106.198.126.25,2719,22,tcp,0.5569438450112185,957,265,5,brute_force
10.172.217.235,81.246.157.184,10976,22,tcp,0.40021639339242077,458,717,5,brute_force
172.26.30.63,75.81.250.141,32543,20360,tcp,0.05425666074736954,140,116,1,port_scan
192.168.244.19,115.71.226.32,12030,22,tcp,0.9423377232033172,379,690,5,brute_force
172.26.107.122,62.20.53.86,13340,445,tcp,1.1027346854136015,799,170,7,brute_force
10.247.150.72,92.213.221.125,22968,3389,tcp,1.4727305604549665,868,131,6,brute_force
10.223.28.194,152.236.51.189,56829,525,tcp,0.255066840957252,61,393,2,port_scan
192.168.186.59,46.113.114.213,21391,3389,tcp,1.1722634025742702,647,465,5,brute_force
192.168.76.172,173.215.63.103,37647,123,udp,2.827639610309448,4200,4935,14,benign
172.27.222.27,175.100.163.32,54066,123,udp,2.728479383632223,4238,8572,18,benign
172.21.157.197,26.175.0.212,9103,3389,tcp,0.8328843496596005,731,287,3,brute_force
172.29.49.137,162.208.29.143,49561,445,tcp,0.4709219560612108,340,559,9,brute_force
172.26.107.122,62.20.53.86,54248,445,tcp,1.0103882070882766,312,762,3,brute_force
10.156.232.251,33.57.112.180,45636,80,tcp,5.156399705573387,13541,13692,44,benign
10.178.49.109,107.219.128.158,37897,8443,tcp,0.6822953632172046,250,226,2,c2_beacon
192.168.125.3,222.255.43.152,4082,3389,tcp,0.823716342208424,852,159,6,brute_force
10.231.157.177,28.18.1.223,8195,8080,tcp,0.46504377117823553,269,604,2,c2_beacon
192.168.225.241,219.68.61.102,27899,80,udp,3.747419706571951,3258,1330,7,benign
10.209.127.223,202.9.128.9,34651,22,tcp,0.6357149353694617,984,548,7,brute_force
10.147.94.104,67.66.141.140,18088,8443,tcp,0.8441022820421471,291,760,2,c2_beacon
192.168.186.59,46.113.114.213,34302,3389,tcp,0.5053986975108795,895,267,3,brute_force
10.138.166.188,211.70.75.191,15426,5991,tcp,0.22959767540902062,254,312,2,port_scan
10.220.74.145,2.7.76.69,41295,3389,tcp,1.7725501156339543,679,746,5,brute_force
192.168.244.19,115.71.226.32,1548,22,tcp,0.5031872799966361,844,386,8,brute_force
172.20.244.49,214.148.75.170,56039,3389,tcp,1.0137333213970978,663,369,4,brute_force
