pid,ppid,name,path,user,company,signed,num_modules,num_unsigned_modules,num_rwx_regions,avg_entropy,has_network_connection,num_connections,listening_ports,high_entropy_strings,cpu_usage,memory_usage_mb,label
1624,808,payload.exe,C:\ProgramData\payload.exe,NT AUTHORITY\USER,Unknown,False,16,12,1,7.02,True,32,0,37,6.43,90.0,infostealer_like
1247,344,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,Microsoft,True,35,2,0,5.25,False,0,0,1,5.2,155.7,benign
1623,244,payload.exe,C:\ProgramData\payload.exe,NT AUTHORITY\USER,Unknown,False,12,12,4,6.21,True,49,1,38,10.01,21.6,infostealer_like
1259,942,explorer.exe,C:\Windows\explorer.exe,NT AUTHORITY\USER,Microsoft,True,48,1,1,5.56,True,1,1,3,1.19,86.7,benign
1771,365,update.exe,C:\Users\User\AppData\Roaming\Update\update.exe,NT AUTHORITY\USER,Unknown,False,14,5,3,6.42,True,8,0,57,13.36,67.3,injected_loader
1003,671,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,NT AUTHORITY\USER,Google LLC,True,31,2,1,4.95,False,0,0,0,6.85,108.8,benign
1442,624,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,NT AUTHORITY\USER,Google LLC,True,18,3,0,4.83,True,9,0,1,0.6,135.6,benign
1326,576,lsass.exe,C:\Windows\System32\lsass.exe,NT AUTHORITY\SYSTEM,Microsoft,True,42,2,1,4.16,True,10,0,0,1.63,68.2,benign
1263,236,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,NT AUTHORITY\USER,Google LLC,True,70,0,0,5.75,False,0,2,1,1.59,139.5,benign
1181,950,Teams.exe,C:\Users\User\AppData\Local\Microsoft\Teams\current\Teams.exe,NT AUTHORITY\USER,Microsoft,True,17,3,0,5.78,False,0,0,0,4.32,73.5,benign
1376,675,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,NT AUTHORITY\USER,Google LLC,True,21,1,1,5.16,False,0,2,0,4.06,131.8,benign
1478,337,explorer.exe,C:\Windows\explorer.exe,NT AUTHORITY\USER,Microsoft,True,64,0,0,5.78,True,6,1,0,5.14,56.4,benign
1447,254,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,Microsoft,True,12,1,1,5.82,False,0,1,3,3.45,91.4,benign
1056,453,Teams.exe,C:\Users\User\AppData\Local\Microsoft\Teams\current\Teams.exe,NT AUTHORITY\USER,Microsoft,True,48,2,1,5.89,False,0,1,2,5.96,77.4,benign
1340,420,Teams.exe,C:\Users\User\AppData\Local\Microsoft\Teams\current\Teams.exe,NT AUTHORITY\USER,Microsoft,True,46,0,0,6.4,True,4,1,1,4.47,0.6,benign
1357,373,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,NT AUTHORITY\USER,Google LLC,True,48,2,1,5.18,True,7,0,0,2.77,88.1,benign
1077,975,Teams.exe,C:\Users\User\AppData\Local\Microsoft\Teams\current\Teams.exe,NT AUTHORITY\USER,Microsoft,True,48,1,1,5.93,True,8,2,1,1.23,124.3,benign
1307,989,explorer.exe,C:\Windows\explorer.exe,NT AUTHORITY\USER,Microsoft,True,73,3,0,5.7,False,0,2,0,5.65,169.0,benign
1799,833,update.exe,C:\Users\User\AppData\Roaming\Update\update.exe,NT AUTHORITY\USER,Unknown,False,13,6,2,5.7,True,13,1,43,2.45,59.6,injected_loader
1558,246,lsass.exe,C:\Windows\System32\lsass.exe,NT AUTHORITY\SYSTEM,Microsoft,True,32,0,0,6.06,True,6,0,1,4.26,143.2,benign
1488,722,Teams.exe,C:\Users\User\AppData\Local\Microsoft\Teams\current\Teams.exe,NT AUTHORITY\USER,Microsoft,True,73,2,0,5.89,False,0,1,3,6.4,168.4,benign
1089,287,explorer.exe,C:\Windows\explorer.exe,NT AUTHORITY\USER,Microsoft,True,37,3,1,5.71,False,0,2,3,3.06,107.6,benign
1397,223,Teams.exe,C:\Users\User\AppData\Local\Microsoft\Teams\current\Teams.exe,NT AUTHORITY\USER,Microsoft,True,73,3,1,4.96,True,7,2,0,1.49,103.4,benign
1539,793,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,NT AUTHORITY\USER,Google LLC,True,10,3,0,5.19,True,1,1,2,4.18,161.1,benign
1013,363,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,NT AUTHORITY\USER,Google LLC,True,52,3,0,5.69,False,0,2,3,6.53,83.9,benign
1741,819,chrome.exe,C:\Users\User\AppData\Local\Temp\chrome.exe,NT AUTHORITY\USER,Unknown,False,5,11,6,7.24,True,12,0,86,37.29,204.1,ransomware_like
1413,407,Teams.exe,C:\Users\User\AppData\Local\Microsoft\Teams\current\Teams.exe,NT AUTHORITY\USER,Microsoft,True,11,2,0,5.23,True,9,1,2,4.19,89.3,benign
1011,849,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,Microsoft,True,54,3,0,5.11,True,10,2,2,4.94,119.7,benign
1069,404,explorer.exe,C:\Windows\explorer.exe,NT AUTHORITY\USER,Microsoft,True,76,2,0,5.85,True,8,2,2,6.69,174.7,benign
1490,864,explorer.exe,C:\Windows\explorer.exe,NT AUTHORITY\USER,Microsoft,True,26,3,1,5.31,False,0,0,3,5.66,162.3,benign
1585,879,Teams.exe,C:\Users\User\AppData\Local\Microsoft\Teams\current\Teams.exe,NT AUTHORITY\USER,Microsoft,True,72,1,0,5.34,False,0,0,1,4.36,183.6,benign
1748,354,payload.exe,C:\ProgramData\payload.exe,NT AUTHORITY\USER,Unknown,False,16,6,4,6.73,True,6,1,47,17.49,19.8,injected_loader
1034,306,Teams.exe,C:\Users\User\AppData\Local\Microsoft\Teams\current\Teams.exe,NT AUTHORITY\USER,Microsoft,True,46,0,1,5.29,True,5,0,2,4.33,156.0,benign
1342,327,Teams.exe,C:\Users\User\AppData\Local\Microsoft\Teams\current\Teams.exe,NT AUTHORITY\USER,Microsoft,True,76,0,1,5.3,True,7,2,2,6.43,110.6,benign
1762,792,chrome.exe,C:\Users\User\AppData\Local\Temp\chrome.exe,NT AUTHORITY\USER,Unknown,False,14,5,4,7.2,True,9,1,22,3.0,140.0,injected_loader
1399,349,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,Microsoft,True,66,3,0,5.76,True,7,2,2,3.06,129.9,benign
1281,233,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,NT AUTHORITY\USER,Google LLC,True,16,1,0,5.54,False,0,0,3,2.46,233.3,benign
1126,507,Teams.exe,C:\Users\User\AppData\Local\Microsoft\Teams\current\Teams.exe,NT AUTHORITY\USER,Microsoft,True,43,3,0,5.74,True,3,0,1,0.82,121.1,benign
1191,808,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,NT AUTHORITY\USER,Google LLC,True,63,3,1,6.06,False,0,0,2,2.63,97.8,benign
1780,742,update.exe,C:\Users\User\AppData\Roaming\Update\update.exe,NT AUTHORITY\USER,Unknown,False,5,6,2,7.03,True,15,1,27,14.43,9.9,injected_loader
1379,870,Teams.exe,C:\Users\User\AppData\Local\Microsoft\Teams\current\Teams.exe,NT AUTHORITY\USER,Microsoft,True,15,0,0,6.06,False,0,0,2,4.9,71.2,benign
1773,816,svchost.exe,C:\Users\User\AppData\Roaming\svchost.exe,NT AUTHORITY\USER,Unknown,False,5,5,3,5.42,True,7,1,23,16.37,171.0,injected_loader
1248,990,explorer.exe,C:\Windows\explorer.exe,NT AUTHORITY\USER,Microsoft,True,65,3,0,5.96,False,0,0,2,6.18,145.0,benign
1628,827,svchost.exe,C:\Users\User\AppData\Roaming\svchost.exe,NT AUTHORITY\USER,Unknown,False,15,6,4,7.47,True,41,1,40,7.35,66.5,infostealer_like
1366,559,Teams.exe,C:\Users\User\AppData\Local\Microsoft\Teams\current\Teams.exe,NT AUTHORITY\USER,Microsoft,True,69,2,0,5.65,True,3,0,3,5.87,160.1,benign
1277,732,lsass.exe,C:\Windows\System32\lsass.exe,NT AUTHORITY\SYSTEM,Microsoft,True,68,1,1,6.04,False,0,1,0,2.11,150.5,benign
1176,703,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,NT AUTHORITY\USER,Google LLC,True,53,1,0,5.55,True,10,2,3,3.14,132.0,benign
1531,888,lsass.exe,C:\Windows\System32\lsass.exe,NT AUTHORITY\SYSTEM,Microsoft,True,47,1,0,5.02,True,7,2,0,0.7,122.8,benign
1187,544,lsass.exe,C:\Windows\System32\lsass.exe,NT AUTHORITY\SYSTEM,Microsoft,True,59,2,1,5.02,False,0,2,0,2.84,124.8,benign
1223,583,explorer.exe,C:\Windows\explorer.exe,NT AUTHORITY\USER,Microsoft,True,12,3,1,5.91,False,0,0,0,3.43,112.2,benign
1371,909,lsass.exe,C:\Windows\System32\lsass.exe,NT AUTHORITY\SYSTEM,Microsoft,True,15,3,1,5.61,False,0,0,3,7.91,154.7,benign
1312,301,lsass.exe,C:\Windows\System32\lsass.exe,NT AUTHORITY\SYSTEM,Microsoft,True,18,0,1,5.07,True,3,2,2,4.05,114.3,benign
1204,993,lsass.exe,C:\Windows\System32\lsass.exe,NT AUTHORITY\SYSTEM,Microsoft,True,50,3,0,6.26,False,0,0,0,3.15,133.8,benign
1574,865,lsass.exe,C:\Windows\System32\lsass.exe,NT AUTHORITY\SYSTEM,Microsoft,True,43,3,0,5.26,True,10,2,2,5.32,155.1,benign
1025,260,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,Microsoft,True,39,3,1,5.51,False,0,1,3,5.55,85.1,benign
1317,564,explorer.exe,C:\Windows\explorer.exe,NT AUTHORITY\USER,Microsoft,True,16,1,1,6.16,False,0,0,3,3.68,63.5,benign
1732,499,payload.exe,C:\ProgramData\payload.exe,NT AUTHORITY\USER,Unknown,False,5,8,3,7.86,False,0,2,35,39.24,323.7,ransomware_like
1374,309,Teams.exe,C:\Users\User\AppData\Local\Microsoft\Teams\current\Teams.exe,NT AUTHORITY\USER,Microsoft,True,66,1,1,5.6,False,0,1,1,4.15,135.1,benign
1697,882,svchost.exe,C:\Users\User\AppData\Roaming\svchost.exe,NT AUTHORITY\USER,Unknown,False,9,15,7,7.55,True,7,2,45,9.65,101.5,ransomware_like
1752,382,payload.exe,C:\ProgramData\payload.exe,NT AUTHORITY\USER,Unknown,False,10,9,2,6.39,True,10,0,51,14.54,97.8,injected_loader
1345,881,Teams.exe,C:\Users\User\AppData\Local\Microsoft\Teams\current\Teams.exe,NT AUTHORITY\USER,Microsoft,True,19,1,1,5.83,False,0,1,3,1.02,140.5,benign
1434,681,Teams.exe,C:\Users\User\AppData\Local\Microsoft\Teams\current\Teams.exe,NT AUTHORITY\USER,Microsoft,True,72,1,1,5.04,False,0,2,3,3.66,35.0,benign
1033,713,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,NT AUTHORITY\USER,Google LLC,True,65,0,1,5.08,False,0,2,2,2.45,115.1,benign
1198,922,lsass.exe,C:\Windows\System32\lsass.exe,NT AUTHORITY\SYSTEM,Microsoft,True,30,2,0,5.83,False,0,2,3,2.54,111.4,benign
1030,974,lsass.exe,C:\Windows\System32\lsass.exe,NT AUTHORITY\SYSTEM,Microsoft,True,17,0,0,5.27,False,0,1,3,3.26,150.6,benign
1575,281,Teams.exe,C:\Users\User\AppData\Local\Microsoft\Teams\current\Teams.exe,NT AUTHORITY\USER,Microsoft,True,34,3,1,5.01,True,1,2,1,7.36,145.4,benign
1065,831,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,Microsoft,True,53,0,0,4.54,True,4,0,3,3.12,168.9,benign
1387,880,lsass.exe,C:\Windows\System32\lsass.exe,NT AUTHORITY\SYSTEM,Microsoft,True,62,1,1,5.53,True,10,0,0,5.25,194.3,benign
1611,329,update.exe,C:\Users\User\AppData\Roaming\Update\update.exe,NT AUTHORITY\USER,Unknown,False,9,12,3,7.37,True,38,0,23,6.23,9.3,infostealer_like
1409,589,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,Microsoft,True,23,3,0,5.64,False,0,0,2,1.62,60.2,benign
1720,619,chrome.exe,C:\Users\User\AppData\Local\Temp\chrome.exe,NT AUTHORITY\USER,Unknown,False,6,10,5,7.59,False,0,2,39,48.54,297.7,ransomware_like
1540,261,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,NT AUTHORITY\USER,Google LLC,True,48,2,1,5.79,True,6,0,3,3.15,107.8,benign
1002,717,Teams.exe,C:\Users\User\AppData\Local\Microsoft\Teams\current\Teams.exe,NT AUTHORITY\USER,Microsoft,True,61,3,1,5.28,False,0,1,0,4.67,182.0,benign
1775,341,payload.exe,C:\ProgramData\payload.exe,NT AUTHORITY\USER,Unknown,False,11,9,4,6.61,True,5,0,50,11.58,121.3,injected_loader
1273,521,explorer.exe,C:\Windows\explorer.exe,NT AUTHORITY\USER,Microsoft,True,79,2,0,5.19,True,1,2,0,5.19,69.9,benign
1352,692,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,Microsoft,True,40,2,1,5.9,True,7,0,1,3.17,117.6,benign
1581,799,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,Microsoft,True,49,3,0,5.28,True,10,2,2,5.06,145.7,benign
1418,873,Teams.exe,C:\Users\User\AppData\Local\Microsoft\Teams\current\Teams.exe,NT AUTHORITY\USER,Microsoft,True,38,1,1,5.08,False,0,1,2,2.41,81.5,benign
1226,807,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,NT AUTHORITY\USER,Google LLC,True,17,0,0,5.52,False,0,2,1,4.55,89.1,benign
1718,800,update.exe,C:\Users\User\AppData\Roaming\Update\update.exe,NT AUTHORITY\USER,Unknown,False,24,14,8,7.12,True,18,2,37,21.88,176.2,ransomware_like
1012,934,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,NT AUTHORITY\USER,Google LLC,True,34,1,1,5.65,True,6,2,2,6.24,119.7,benign
1384,425,explorer.exe,C:\Windows\explorer.exe,NT AUTHORITY\USER,Microsoft,True,59,0,0,5.84,True,2,2,1,4.86,144.2,benign
1009,523,explorer.exe,C:\Windows\explorer.exe,NT AUTHORITY\USER,Microsoft,True,34,3,1,4.4,False,0,2,1,3.29,120.3,benign
1046,748,Teams.exe,C:\Users\User\AppData\Local\Microsoft\Teams\current\Teams.exe,NT AUTHORITY\USER,Microsoft,True,14,2,0,5.52,False,0,1,3,3.02,79.3,benign
1406,604,explorer.exe,C:\Windows\explorer.exe,NT AUTHORITY\USER,Microsoft,True,68,2,0,5.87,True,0,1,1,6.58,12.7,benign
1095,943,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,NT AUTHORITY\USER,Google LLC,True,39,2,0,5.27,True,6,2,0,5.79,68.7,benign
1647,643,update.exe,C:\Users\User\AppData\Roaming\Update\update.exe,NT AUTHORITY\USER,Unknown,False,13,12,3,6.5,True,49,1,13,15.09,81.3,infostealer_like
1754,702,update.exe,C:\Users\User\AppData\Roaming\Update\update.exe,NT AUTHORITY\USER,Unknown,False,10,3,3,6.27,True,13,1,50,12.55,211.5,injected_loader
1040,367,lsass.exe,C:\Windows\System32\lsass.exe,NT AUTHORITY\SYSTEM,Microsoft,True,70,2,0,5.93,False,0,1,3,7.01,155.6,benign
1481,855,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,Microsoft,True,34,0,0,5.75,True,10,0,0,4.38,151.5,benign
1588,411,Teams.exe,C:\Users\User\AppData\Local\Microsoft\Teams\current\Teams.exe,NT AUTHORITY\USER,Microsoft,True,20,3,1,5.93,True,6,0,0,8.47,151.4,benign
1213,306,lsass.exe,C:\Windows\System32\lsass.exe,NT AUTHORITY\SYSTEM,Microsoft,True,33,0,1,5.44,True,2,0,0,1.26,116.0,benign
1175,732,Teams.exe,C:\Users\User\AppData\Local\Microsoft\Teams\current\Teams.exe,NT AUTHORITY\USER,Microsoft,True,71,3,0,6.11,True,2,1,1,4.14,104.8,benign
1705,454,svchost.exe,C:\Users\User\AppData\Roaming\svchost.exe,NT AUTHORITY\USER,Unknown,False,12,13,4,6.92,True,19,2,33,30.13,290.5,ransomware_like
1711,784,payload.exe,C:\ProgramData\payload.exe,NT AUTHORITY\USER,Unknown,False,24,13,5,7.59,True,13,0,73,57.18,290.1,ransomware_like
1790,985,payload.exe,C:\ProgramData\payload.exe,NT AUTHORITY\USER,Unknown,False,17,9,5,6.15,True,7,1,18,12.83,73.0,injected_loader
1715,930,update.exe,C:\Users\User\AppData\Roaming\Update\update.exe,NT AUTHORITY\USER,Unknown,False,10,14,4,7.93,True,24,0,31,36.38,157.1,ransomware_like
1724,819,svchost.exe,C:\Users\User\AppData\Roaming\svchost.exe,NT AUTHORITY\USER,Unknown,False,21,12,7,7.36,True,22,0,76,43.24,329.5,ransomware_like
1106,464,Teams.exe,C:\Users\User\AppData\Local\Microsoft\Teams\current\Teams.exe,NT AUTHORITY\USER,Microsoft,True,19,0,1,5.95,False,0,1,2,3.3,74.7,benign
1140,790,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,NT AUTHORITY\USER,Google LLC,True,56,1,1,5.56,False,0,0,3,5.36,135.3,benign
1115,888,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,Microsoft,True,65,3,1,5.38,True,2,0,2,0.11,113.3,benign
1459,707,lsass.exe,C:\Windows\System32\lsass.exe,NT AUTHORITY\SYSTEM,Microsoft,True,59,2,0,4.92,True,4,0,1,3.33,60.6,benign
1768,204,update.exe,C:\Users\User\AppData\Roaming\Update\update.exe,NT AUTHORITY\USER,Unknown,False,13,4,5,6.25,True,10,0,51,15.97,49.6,injected_loader
1302,910,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,Microsoft,True,43,2,0,4.59,False,0,0,2,6.58,165.4,benign
1764,542,payload.exe,C:\ProgramData\payload.exe,NT AUTHORITY\USER,Unknown,False,14,3,3,6.31,True,13,0,41,8.88,150.6,injected_loader
1032,275,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,Microsoft,True,34,0,0,4.99,True,9,0,1,4.66,98.3,benign
1217,914,Teams.exe,C:\Users\User\AppData\Local\Microsoft\Teams\current\Teams.exe,NT AUTHORITY\USER,Microsoft,True,53,2,0,4.76,False,0,1,0,2.88,36.4,benign
1166,277,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,Microsoft,True,79,1,0,6.16,False,0,2,0,5.29,133.5,benign
1369,824,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,NT AUTHORITY\USER,Google LLC,True,50,2,0,6.21,False,0,0,3,5.69,112.7,benign
1657,957,chrome.exe,C:\Users\User\AppData\Local\Temp\chrome.exe,NT AUTHORITY\USER,Unknown,False,9,9,3,7.06,True,36,1,13,11.83,89.3,infostealer_like
1710,897,update.exe,C:\Users\User\AppData\Roaming\Update\update.exe,NT AUTHORITY\USER,Unknown,False,25,13,5,7.0,True,25,1,68,40.47,325.2,ransomware_like
1017,550,explorer.exe,C:\Windows\explorer.exe,NT AUTHORITY\USER,Microsoft,True,45,3,1,4.98,False,0,0,3,0.34,77.4,benign
1683,281,svchost.exe,C:\Users\User\AppData\Roaming\svchost.exe,NT AUTHORITY\USER,Unknown,False,17,8,3,7.52,True,12,1,70,17.08,136.3,ransomware_like
1028,260,lsass.exe,C:\Windows\System32\lsass.exe,NT AUTHORITY\SYSTEM,Microsoft,True,80,0,1,5.39,False,0,2,2,3.83,111.2,benign
1678,291,chrome.exe,C:\Users\User\AppData\Local\Temp\chrome.exe,NT AUTHORITY\USER,Unknown,False,29,10,1,6.91,True,25,1,36,5.64,131.4,infostealer_like
1174,910,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,Microsoft,True,42,0,0,5.67,True,3,2,1,1.86,158.3,benign
1692,829,chrome.exe,C:\Users\User\AppData\Local\Temp\chrome.exe,NT AUTHORITY\USER,Unknown,False,16,7,5,7.71,True,14,2,55,41.7,275.3,ransomware_like
1512,924,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,Microsoft,True,76,0,0,5.56,False,0,0,3,5.32,146.8,benign
1075,668,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,NT AUTHORITY\USER,Google LLC,True,65,2,1,5.79,False,0,2,1,2.81,181.0,benign
1535,830,explorer.exe,C:\Windows\explorer.exe,NT AUTHORITY\USER,Microsoft,True,76,1,1,5.15,False,0,1,3,5.28,158.2,benign
1380,360,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,NT AUTHORITY\USER,Google LLC,True,74,0,1,4.53,False,0,1,2,4.27,61.6,benign
1596,243,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,Microsoft,True,77,1,1,5.51,True,6,2,3,2.9,142.2,benign
1458,219,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,Microsoft,True,54,2,1,5.95,False,0,1,0,4.21,101.0,benign
1618,906,payload.exe,C:\ProgramData\payload.exe,NT AUTHORITY\USER,Unknown,False,8,6,2,6.97,True,45,0,19,7.86,93.2,infostealer_like
1758,573,payload.exe,C:\ProgramData\payload.exe,NT AUTHORITY\USER,Unknown,False,13,2,3,6.86,True,14,0,20,21.41,108.3,injected_loader
1719,455,payload.exe,C:\ProgramData\payload.exe,NT AUTHORITY\USER,Unknown,False,5,8,8,7.56,True,17,2,32,47.95,290.9,ransomware_like
1704,755,svchost.exe,C:\Users\User\AppData\Roaming\svchost.exe,NT AUTHORITY\USER,Unknown,False,21,9,5,7.61,True,8,2,83,53.5,328.9,ransomware_like
1687,977,chrome.exe,C:\Users\User\AppData\Local\Temp\chrome.exe,NT AUTHORITY\USER,Unknown,False,12,8,4,7.69,True,19,2,92,57.32,142.0,ransomware_like
1446,299,explorer.exe,C:\Windows\explorer.exe,NT AUTHORITY\USER,Microsoft,True,41,3,1,4.99,False,0,1,3,0.95,141.2,benign
1202,210,Teams.exe,C:\Users\User\AppData\Local\Microsoft\Teams\current\Teams.exe,NT AUTHORITY\USER,Microsoft,True,20,0,0,5.56,True,2,2,2,1.3,130.5,benign
1105,694,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,Microsoft,True,13,3,1,4.98,False,0,2,0,5.51,125.2,benign
1315,879,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,Microsoft,True,29,0,0,4.95,False,0,0,1,4.89,135.0,benign
1123,717,Teams.exe,C:\Users\User\AppData\Local\Microsoft\Teams\current\Teams.exe,NT AUTHORITY\USER,Microsoft,True,72,1,0,5.42,True,2,2,0,0.82,94.5,benign
1099,284,explorer.exe,C:\Windows\explorer.exe,NT AUTHORITY\USER,Microsoft,True,75,0,1,5.5,False,0,2,3,2.92,139.7,benign
1121,443,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,NT AUTHORITY\USER,Google LLC,True,53,1,1,5.57,False,0,2,2,5.09,86.8,benign
1594,508,lsass.exe,C:\Windows\System32\lsass.exe,NT AUTHORITY\SYSTEM,Microsoft,True,23,0,0,6.13,True,0,1,2,4.91,117.5,benign
1124,867,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,NT AUTHORITY\USER,Google LLC,True,23,1,1,5.5,False,0,2,2,2.12,130.5,benign
1676,498,svchost.exe,C:\Users\User\AppData\Roaming\svchost.exe,NT AUTHORITY\USER,Unknown,False,16,4,3,7.13,True,57,1,40,11.23,30.8,infostealer_like
1569,689,Teams.exe,C:\Users\User\AppData\Local\Microsoft\Teams\current\Teams.exe,NT AUTHORITY\USER,Microsoft,True,42,1,0,5.47,True,8,0,3,2.91,151.9,benign
1545,999,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,NT AUTHORITY\USER,Google LLC,True,52,0,1,5.2,False,0,1,2,2.2,157.8,benign
1351,360,lsass.exe,C:\Windows\System32\lsass.exe,NT AUTHORITY\SYSTEM,Microsoft,True,26,3,0,5.47,False,0,1,2,3.11,141.0,benign
1148,370,Teams.exe,C:\Users\User\AppData\Local\Microsoft\Teams\current\Teams.exe,NT AUTHORITY\USER,Microsoft,True,78,1,1,5.3,False,0,2,3,6.5,131.7,benign
1173,610,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,Microsoft,True,15,1,1,5.63,True,2,0,2,4.77,117.1,benign
1766,606,svchost.exe,C:\Users\User\AppData\Roaming\svchost.exe,NT AUTHORITY\USER,Unknown,False,9,4,3,6.14,True,10,0,28,14.0,174.4,injected_loader
